,city,latitude,longitude,day,date,temp_day,temp_night,feels_like_day,feels_like_night,clouds,wind_speed,humidity
0,Mont Saint Michel,48.636,-1.5115,0,27/01/2022,10.53,9.34,9.73,8.49,89,4.21,80
1,Mont Saint Michel,48.636,-1.5115,1,28/01/2022,10.42,7.99,9.55,6.87,73,2.32,78
2,Mont Saint Michel,48.636,-1.5115,2,29/01/2022,11.73,9.08,11.07,6.91,43,6.38,81
3,Mont Saint Michel,48.636,-1.5115,3,30/01/2022,8.53,4.8,7.39,4.8,100,3.64,68
4,Mont Saint Michel,48.636,-1.5115,4,31/01/2022,7.67,4.43,3.63,1.95,100,9.06,73
5,Mont Saint Michel,48.636,-1.5115,5,01/02/2022,10.51,9.85,9.76,7.27,71,7.9,82
6,Mont Saint Michel,48.636,-1.5115,6,02/02/2022,11.86,7.63,11.22,5.47,88,5.4,81
7,Mont Saint Michel,48.636,-1.5115,7,03/02/2022,9.88,9.91,7.09,6.91,94,7.9,84
8,St Malo,48.6495,-2.026,0,27/01/2022,10.39,9.7,9.5,8.03,92,6.0,77
9,St Malo,48.6495,-2.026,1,28/01/2022,10.42,8.95,9.58,6.98,73,3.47,79
10,St Malo,48.6495,-2.026,2,29/01/2022,11.3,9.02,10.63,6.57,61,7.02,82
11,St Malo,48.6495,-2.026,3,30/01/2022,7.78,6.26,5.95,5.27,100,5.15,73
12,St Malo,48.6495,-2.026,4,31/01/2022,8.31,7.37,3.98,4.22,94,10.86,71
13,St Malo,48.6495,-2.026,5,01/02/2022,10.31,10.15,9.56,9.54,53,9.25,83
14,St Malo,48.6495,-2.026,6,02/02/2022,11.08,8.18,10.38,5.67,96,6.21,82
15,St Malo,48.6495,-2.026,7,03/02/2022,10.5,9.95,9.72,6.75,92,8.76,81
16,Bayeux,49.2765,-0.7025,0,27/01/2022,9.11,9.32,5.71,7.96,91,7.3,83
17,Bayeux,49.2765,-0.7025,1,28/01/2022,10.11,6.27,8.95,3.28,94,4.27,68
18,Bayeux,49.2765,-0.7025,2,29/01/2022,12.54,9.84,12.04,7.81,54,7.84,84
19,Bayeux,49.2765,-0.7025,3,30/01/2022,7.43,3.37,5.95,2.29,83,4.54,69
20,Bayeux,49.2765,-0.7025,4,31/01/2022,6.56,5.34,1.83,2.58,98,9.3,80
21,Bayeux,49.2765,-0.7025,5,01/02/2022,11.18,9.09,10.49,5.7,81,8.8,82
22,Bayeux,49.2765,-0.7025,6,02/02/2022,12.38,7.29,11.58,5.05,100,6.52,73
23,Bayeux,49.2765,-0.7025,7,03/02/2022,9.44,9.3,6.15,5.59,94,8.67,80
24,Le Havre,49.4939,0.108,0,27/01/2022,8.55,8.71,5.04,6.6,96,7.57,85
25,Le Havre,49.4939,0.108,1,28/01/2022,8.04,7.56,6.53,4.61,100,4.83,81
26,Le Havre,49.4939,0.108,2,29/01/2022,9.97,9.85,6.99,7.27,89,7.33,92
27,Le Havre,49.4939,0.108,3,30/01/2022,6.79,5.56,6.18,5.56,34,6.33,69
28,Le Havre,49.4939,0.108,4,31/01/2022,6.76,6.75,1.77,4.1,100,10.63,87
29,Le Havre,49.4939,0.108,5,01/02/2022,9.62,9.67,6.1,6.32,89,9.05,86
30,Le Havre,49.4939,0.108,6,02/02/2022,10.12,8.73,9.46,6.81,100,7.39,87
31,Le Havre,49.4939,0.108,7,03/02/2022,9.17,9.7,6.44,5.85,93,9.85,81
32,Rouen,49.4405,1.094,0,27/01/2022,8.89,6.18,5.82,4.27,92,6.04,81
33,Rouen,49.4405,1.094,1,28/01/2022,8.7,4.69,7.75,2.44,93,2.81,74
34,Rouen,49.4405,1.094,2,29/01/2022,10.84,9.83,10.3,7.45,98,6.77,89
35,Rouen,49.4405,1.094,3,30/01/2022,7.13,3.47,5.99,3.47,28,4.88,68
36,Rouen,49.4405,1.094,4,31/01/2022,6.27,3.1,2.61,0.75,100,7.89,93
37,Rouen,49.4405,1.094,5,01/02/2022,10.62,10.04,9.9,9.55,94,8.28,83
38,Rouen,49.4405,1.094,6,02/02/2022,11.62,7.52,10.95,6.17,97,6.57,81
39,Rouen,49.4405,1.094,7,03/02/2022,10.39,10.24,9.42,9.51,99,8.17,74
40,Paris,48.8589,2.32,0,27/01/2022,6.29,7.37,3.45,6.11,94,4.05,81
41,Paris,48.8589,2.32,1,28/01/2022,7.97,5.38,7.97,3.67,66,2.14,70
42,Paris,48.8589,2.32,2,29/01/2022,9.85,9.58,7.99,7.85,85,4.25,88
43,Paris,48.8589,2.32,3,30/01/2022,7.35,4.99,6.12,4.99,49,3.71,64
44,Paris,48.8589,2.32,4,31/01/2022,6.25,4.79,3.58,1.73,97,5.04,80
45,Paris,48.8589,2.32,5,01/02/2022,7.92,10.08,5.3,9.49,100,5.62,81
46,Paris,48.8589,2.32,6,02/02/2022,10.81,8.29,10.09,7.34,100,4.36,82
47,Paris,48.8589,2.32,7,03/02/2022,10.11,9.96,8.87,6.99,94,6.66,65
48,Amiens,49.8942,2.2957,0,27/01/2022,8.25,5.18,4.75,2.85,95,6.85,87
49,Amiens,49.8942,2.2957,1,28/01/2022,8.6,4.21,7.23,1.16,59,3.56,74
50,Amiens,49.8942,2.2957,2,29/01/2022,11.21,10.15,10.58,9.52,99,8.43,84
51,Amiens,49.8942,2.2957,3,30/01/2022,6.88,3.63,5.62,3.63,20,5.82,70
52,Amiens,49.8942,2.2957,4,31/01/2022,5.62,4.86,2.68,2.11,100,7.26,91
53,Amiens,49.8942,2.2957,5,01/02/2022,10.04,10.07,9.32,9.51,98,8.78,85
54,Amiens,49.8942,2.2957,6,02/02/2022,12.12,6.94,11.42,4.71,100,6.6,78
55,Amiens,49.8942,2.2957,7,03/02/2022,9.91,9.47,7.22,5.94,98,8.18,75
56,Lille,50.6366,3.0635,0,27/01/2022,8.76,5.14,5.39,2.4,100,7.34,85
57,Lille,50.6366,3.0635,1,28/01/2022,7.97,5.47,6.11,2.08,57,4.67,76
58,Lille,50.6366,3.0635,2,29/01/2022,11.37,8.39,10.65,5.09,100,7.55,80
59,Lille,50.6366,3.0635,3,30/01/2022,7.26,3.44,5.71,3.44,12,5.52,63
60,Lille,50.6366,3.0635,4,31/01/2022,5.97,5.02,3.26,2.66,100,7.04,91
61,Lille,50.6366,3.0635,5,01/02/2022,9.58,9.57,6.14,6.5,100,7.93,85
62,Lille,50.6366,3.0635,6,02/02/2022,12.12,7.79,11.22,5.14,57,6.46,70
63,Lille,50.6366,3.0635,7,03/02/2022,9.73,8.97,7.08,5.41,95,7.71,73
64,Strasbourg,48.5846,7.7507,0,27/01/2022,1.19,2.68,-1.76,-0.78,98,4.12,76
65,Strasbourg,48.5846,7.7507,1,28/01/2022,6.07,2.67,3.53,1.07,22,3.39,64
66,Strasbourg,48.5846,7.7507,2,29/01/2022,4.15,6.11,0.64,2.98,99,4.77,66
67,Strasbourg,48.5846,7.7507,3,30/01/2022,7.28,2.5,5.83,0.67,56,4.62,61
68,Strasbourg,48.5846,7.7507,4,31/01/2022,4.18,3.16,2.6,1.25,100,2.13,66
69,Strasbourg,48.5846,7.7507,5,01/02/2022,4.39,4.94,0.6,1.1,89,6.29,73
70,Strasbourg,48.5846,7.7507,6,02/02/2022,9.43,7.3,7.02,4.65,100,5.52,74
71,Strasbourg,48.5846,7.7507,7,03/02/2022,9.17,8.47,8.18,5.5,75,5.45,70
72,Chateau du Haut Koenigsbourg,48.2495,7.3443,0,27/01/2022,-2.34,-0.02,-2.34,-2.29,100,2.2,81
73,Chateau du Haut Koenigsbourg,48.2495,7.3443,1,28/01/2022,3.07,-0.87,1.5,-0.87,55,1.81,61
74,Chateau du Haut Koenigsbourg,48.2495,7.3443,2,29/01/2022,4.49,2.92,2.23,0.92,94,2.58,60
75,Chateau du Haut Koenigsbourg,48.2495,7.3443,3,30/01/2022,3.31,-1.1,1.78,-1.1,99,2.2,83
76,Chateau du Haut Koenigsbourg,48.2495,7.3443,4,31/01/2022,2.2,-0.18,2.2,-0.18,100,2.04,64
77,Chateau du Haut Koenigsbourg,48.2495,7.3443,5,01/02/2022,1.08,1.76,-1.56,-1.3,97,3.21,78
78,Chateau du Haut Koenigsbourg,48.2495,7.3443,6,02/02/2022,4.42,4.03,2.39,2.22,100,3.28,91
